 ,PV power generation / Mean values [W]  
"=""06:30""",2
"=""06:45""",62
"=""07:00""",156
"=""07:15""",301
"=""07:30""",592
"=""07:45""",700
"=""08:00""",874
"=""08:15""","1,173"
"=""08:30""","1,398"
"=""08:45""","1,707"
"=""09:00""","1,976"
"=""09:15""","2,196"
"=""09:30""","2,345"
"=""09:45""","2,508"
"=""10:00""","2,416"
"=""10:15""","1,988"
"=""10:30""","1,582"
"=""10:45""","1,799"
"=""11:00""","1,334"
"=""11:15""","1,166"
"=""11:30""","1,111"
"=""11:45""","1,139"
"=""12:00""","1,181"
"=""12:15""","1,219"
"=""12:30""","1,241"
"=""12:45""","1,279"
"=""13:00""","1,105"
"=""13:15""","1,094"
"=""13:30""","1,217"
"=""13:45""","1,450"
"=""14:00""","1,135"
"=""14:15""","1,233"
"=""14:30""","1,134"
"=""14:45""","1,087"
"=""15:00""","1,142"
"=""15:15""","1,281"
"=""15:30""","1,098"
"=""15:45""",940
"=""16:00""",734
"=""16:15""",557
"=""16:30""",355
"=""16:45""",250
"=""17:00""",151
"=""17:15""",106
"=""17:30""",63
"=""17:45""",31
"=""18:00""",3
