,Actual,Prediction
0,493,1047.820313
1,610,521.84375
2,700,747.8046875
3,1296,1078.21875
4,1475,1200.429688
5,2272,1678.648438
6,2198,2006
7,18,-282.03125
8,969,1360.90625
9,1911,2231.25
10,1991,1323.226563
11,1631,1574.179688
12,1166,1557.4375
13,1835,2044.585938
14,175,221.3671875
15,423,461.8125
16,1840,1457.15625
17,634,694
18,277,535.890625
19,1083,1281.203125
20,570,771.5859375
21,2449,1751.75
22,592,456.9375
23,2504,2261.679688
24,505,1406.59375
25,835,880.484375
26,638,724.171875
27,1279,1440.523438
28,0,92.875
29,135,138.5234375
30,1154,898.7109375
31,561,1211.15625
32,1175,2050.460938
33,2345,1942.054688
34,1174,1711.726563
35,992,1034.796875
36,471,573.34375
37,1008,1065.882813
38,690,982.515625
39,378,1192.546875
40,38,167.6640625
41,2316,1666.140625
42,2207,1200.25
43,1284,1938.585938
44,1372,1258.929688
45,1853,1958.054688
46,2118,1970.242188
47,1247,1226.398438
48,151,59.796875
49,537,573.234375
50,26,-121.4765625
51,934,905.5859375
52,2460,2075.351563
53,742,634.09375
54,2250,2221.140625
55,2496,1601.234375
56,187,448.953125
57,906,1254.625
58,1776,1497.914063
59,34,194
60,2309,2122.84375
61,481,1138.085938
62,2261,1938.765625
63,857,1072.25
64,369,404.7578125
65,2293,1889.234375
66,700,616.53125
67,808,786.890625
68,1313,2098.945313
69,492,454.5625
70,62,57.0234375
71,559,1416.164063
72,642,1215.242188
73,0,-408.2265625
74,641,811.65625
75,51,204.03125
76,615,1432.25
77,463,439.1171875
78,2391,2201.546875
79,1351,1484.617188
80,1193,1763.203125
81,374,1403.078125
82,1233,1524.25
83,1281,792.5390625
84,1139,1331.8125
85,1928,1692.460938
86,2090,1859.046875
87,2444,2275.523438
88,75,186.625
89,1849,1346.257813
90,1134,1197.328125
91,63,38.7734375
92,58,-26.125
93,1661,1187.59375
94,2508,2087.65625
95,190,688.3671875
96,103,329.625
97,328,307.0859375
98,163,468.7265625
99,1105,2004.8125
100,1988,2120.945313
101,2014,1210.25
102,541,1220.09375
103,758,921.71875
104,130,166.9921875
105,287,406.359375
106,355,306.7109375
107,972,835.140625
108,944,1313.78125
109,358,412.453125
110,1045,1563.375
111,98,278.765625
112,3,-6.0703125
113,2367,2274.289063
114,1772,1827.539063
115,968,1406.789063
116,2249,1813.84375
