,Actual,Prediction
0,1577.0,1893.595703125
1,934.0,878.458984375
2,1824.0,1255.55859375
3,228.0,497.162109375
4,106.0,-67.119140625
5,0.0,-413.015625
6,0.0,90.8125
7,906.0,1352.361328125
8,700.0,612.765625
9,537.0,495.87109375
10,1068.0,1371.484375
11,132.0,270.265625
12,1233.0,1413.46484375
13,810.0,1955.580078125
14,2241.0,2075.037109375
15,358.0,339.19140625
16,1148.0,1359.1328125
17,2008.0,1815.22265625
18,2220.0,1809.111328125
19,579.0,706.73046875
20,1211.0,1836.29296875
21,2477.0,1629.419921875
22,2014.0,1338.984375
23,2444.0,2487.986328125
24,2017.0,1751.71875
25,700.0,690.5
26,868.0,949.017578125
27,233.0,465.86328125
28,354.0,432.837890625
29,808.0,794.02734375
30,1067.0,561.853515625
31,1296.0,1442.119140625
32,647.0,1275.21484375
33,1911.0,1941.9296875
34,1562.0,933.70703125
35,0.0,135.35546875
36,668.0,1096.748046875
37,103.0,371.427734375
38,1798.0,1586.330078125
39,1514.0,1379.267578125
40,568.0,632.548828125
41,1018.0,1253.8984375
42,1515.0,1247.1484375
43,463.0,465.369140625
44,2309.0,1924.748046875
45,859.0,1085.5234375
46,1736.0,1931.421875
47,852.0,1154.767578125
48,1141.0,1471.1171875
49,857.0,1218.60546875
50,690.0,1016.642578125
51,1818.0,1881.708984375
52,51.0,172.814453125
53,2496.0,1510.951171875
54,852.0,574.0
55,1052.0,1097.8125
56,344.0,67.4296875
57,815.0,1065.142578125
58,0.0,52.451171875
59,559.0,945.419921875
60,1772.0,1824.646484375
61,1173.0,856.498046875
62,16.0,59.744140625
63,638.0,723.51171875
64,2720.0,1893.01171875
65,1661.0,1270.369140625
66,65.0,-400.06640625
67,758.0,938.845703125
68,1682.0,2212.330078125
69,1932.0,1799.087890625
70,14.0,109.484375
71,2142.0,1900.736328125
72,2250.0,2302.806640625
73,1667.0,1039.892578125
74,2632.0,1501.935546875
75,1225.0,1564.478515625
76,163.0,439.10546875
77,629.0,683.466796875
78,1506.0,1817.888671875
79,1582.0,2148.75390625
80,2.0,3.923828125
81,2088.0,2050.76953125
82,1139.0,1178.212890625
83,829.0,1697.619140625
84,101.0,11.16015625
85,1147.0,1549.849609375
86,256.0,437.330078125
87,41.0,8.05859375
88,0.0,-581.447265625
89,677.0,243.85546875
90,1020.0,1476.650390625
91,1312.0,1958.98828125
92,632.0,786.79296875
93,1863.0,1803.59375
94,719.0,661.70703125
95,255.0,340.10546875
96,1334.0,1811.787109375
97,1991.0,1442.01953125
98,372.0,356.6328125
99,873.0,1090.345703125
100,1720.0,1949.224609375
101,67.0,109.095703125
102,578.0,621.837890625
103,2227.0,1751.287109375
104,1284.0,1774.720703125
105,1572.0,1339.46875
106,2542.0,2447.8828125
107,1735.0,1905.7890625
108,146.0,271.685546875
109,1091.0,2141.587890625
110,533.0,929.171875
111,1573.0,1731.75
112,2196.0,1694.73046875
113,1631.0,1595.748046875
114,2416.0,2303.70703125
115,1388.0,1383.408203125
116,1849.0,1672.046875
