 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Output value / Mean values [W]  
"=""00:15"""; ;1;"2,100";;0;;0;; 
"=""00:30"""; ;0;"2,314";;0;;1;; 
"=""00:45"""; ;0;"2,289";;0;;1;; 
"=""01:00"""; ;0;"2,047";;0;;2;; 
"=""01:15"""; ;0;"2,201";;0;;2;; 
"=""01:30"""; ;2;"1,710";;0;;0;; 
"=""01:45"""; ;0;"1,998";;0;;3;; 
"=""02:00"""; ;0;"1,923";;0;;2;; 
"=""02:15"""; ;1;"1,973";;0;;0;; 
"=""02:30"""; ;0;"1,448";;0;;3;; 
"=""02:45"""; ;0;"1,749";;0;;0;; 
"=""03:00"""; ;1;"2,026";;0;;0;; 
"=""03:15"""; ;0;"1,623";;0;;2;; 
"=""03:30"""; ;1;"1,535";;0;;0;; 
"=""03:45"""; ;0;"1,687";;0;;1;; 
"=""04:00"""; ;0;"1,756";;0;;0;; 
"=""04:15"""; ;0;"2,064";;0;;1;; 
"=""04:30"""; ;0;"1,457";;0;;1;; 
"=""04:45"""; ;2;"1,397";;0;;0;; 
"=""05:00"""; ;0;"2,609";;0;;1;; 
"=""05:15""";0;1;"1,562";"1,563";0;0;0;; 
"=""05:30""";0;0;"3,087";"3,088";0;0;0;; 
"=""05:45""";0;0;"1,704";"1,701";0;0;3;; 
"=""06:00""";0;1;"1,331";"1,331";0;0;0;; 
"=""06:15""";0;1;"1,296";"1,297";0;0;0;; 
"=""06:30""";2;0;"2,369";"2,372";0;2;1;3; 
"=""06:45""";65;0;"1,007";"1,071";0;65;3;67; 
"=""07:00""";123;0;"1,121";"1,244";0;123;0;123; 
"=""07:15""";157;0;828;985;0;157;1;158; 
"=""07:30""";214;1;886;"1,100";0;214;0;214; 
"=""07:45""";328;0;856;"1,183";0;328;1;329; 
"=""08:00""";457;0;861;"1,318";0;457;2;459; 
"=""08:15""";560;0;617;"1,176";0;560;0;560; 
"=""08:30""";773;0;516;"1,288";11;773;26;810; 
"=""08:45""";789;0;50;838;22;789;178;988; 
"=""09:00""";803;0;27;830;24;803;313;"1,141"; 
"=""09:06"""; ; ; ; ; ; ; ; ;"2,880"
"=""09:11"""; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";759;0;30;788;31;759;815;"1,604"; 
"=""09:30""";857;0;26;884;28;857;"1,694";"2,580"; 
"=""09:45""";"1,054";0;33;"1,087";26;"1,054";664;"1,744"; 
"=""10:00""";"1,574";99;100;"1,772";79;"1,574";0;"1,653"; 
"=""10:15""";"1,213";0;67;"1,281";86;"1,213";607;"1,906"; 
"=""10:30""";855;0;85;940;82;855;991;"1,928"; 
"=""10:45""";831;0;53;884;52;831;"1,044";"1,926"; 
"=""11:00""";829;0;27;856;25;829;"1,031";"1,885"; 
"=""11:15""";956;0;91;"1,047";101;956;"1,631";"2,688"; 
"=""11:26"""; ; ; ; ; ; ; ; ;"2,280"
"=""11:30""";851;0;102;953;123;851;"1,411";"2,385"; 
"=""11:31"""; ; ; ; ; ; ; ; ;"3,000"
"=""11:36"""; ; ; ; ; ; ; ; ;"2,910"
"=""11:41"""; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";865;0;29;893;29;865;912;"1,805"; 
