 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,018";;0;;0;; ; 
"=""00:30"""; ;0;"2,077";;0;;0;; ; 
"=""00:45"""; ;0;"1,404";;0;;0;; ; 
"=""01:00"""; ;0;"1,007";;0;;0;; ; 
"=""01:15"""; ;0;"1,608";;0;;0;; ; 
"=""01:30"""; ;0;"1,528";;0;;0;; ; 
"=""01:45"""; ;0;"1,613";;0;;0;; ; 
"=""02:00"""; ;0;750;;0;;0;; ; 
"=""02:15"""; ;0;"1,100";;0;;0;; ; 
"=""02:30"""; ;0;"1,548";;0;;0;; ; 
"=""02:45"""; ;0;"1,064";;0;;0;; ; 
"=""03:00"""; ;0;996;;0;;0;; ; 
"=""03:15"""; ;0;"1,434";;0;;0;; ; 
"=""03:30"""; ;0;"1,369";;0;;0;; ; 
"=""03:45"""; ;0;838;;0;;0;; ; 
"=""04:00"""; ;0;"1,146";;0;;0;; ; 
"=""04:15"""; ;0;898;;0;;0;; ; 
"=""04:30"""; ;0;"1,293";;0;;0;; ; 
"=""04:45"""; ;0;"1,235";;0;;0;; ; 
"=""05:00""";0;0;"2,139";"2,139";0;0;0;; ; 
"=""05:15""";0;0;"2,613";"2,613";0;0;0;; ; 
"=""05:27"""; ; ; ; ; ; ; ; ;300; 
"=""05:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""05:30""";0;0;"1,811";"1,811";0;0;0;; ; 
"=""05:45"""; ;;;;;;;; ; 
"=""06:00""";0;0;"1,323";"1,323";0;0;0;; ; 
"=""06:15""";0;0;"2,251";"2,251";0;0;0;; ; 
"=""06:30""";0;0;"1,355";"1,355";0;0;0;0; ; 
"=""06:45""";59;0;"1,772";"1,831";0;59;0;59; ; 
"=""07:00""";113;0;"1,260";"1,373";0;113;0;113; ; 
"=""07:15""";219;0;"1,365";"1,584";0;219;0;219; ; 
"=""07:30""";270;0;904;"1,174";0;270;0;270; ; 
"=""07:45""";249;0;"1,002";"1,251";0;249;0;249; ; 
"=""08:00""";343;0;738;"1,081";0;343;0;343; ; 
"=""08:15""";500;0;343;843;0;500;0;500; ; 
